row.id,Location,Sample_ID,lat,long,dilution.factor,total,live,dead,beads,live.conc,dead.conc,total.conc
1,BCSP,BCSP001,39.121528,-86.194583,1,1550535,787033,763502,10000,78700000,76400000,1550535000
2,BCSP,BCSP002,39.163583,-86.211806,1,190910,70953,119957,10000,7100000,12000000,190910000
3,BCSP,BCSP004,39.144528,-86.192694,1,152370,32665,119705,9999,3270000,12000000,152385238.5
4,BCSP,BCSP005,39.1485,-86.190167,1,160398,67410,92988,10000,6740000,9300000,160398000
5,BCSP,BCSP010,39.140722,-86.196611,1,401698,173899,227799,9990,17400000,22800000,402100100.1
6,BCSP,BCSP015,39.133194,-86.196833,1,378671,142563,236108,9995,14300000,23600000,378860430.2
7,BCSP,BCSP016,39.127528,-86.199278,1,353432,157981,195451,9995,15800000,19600000,353608804.4
8,BCSP,BCSP018,39.123889,-86.206722,1,264698,102813,161885,9994,10300000,16200000,264856914.1
9,BCSP,BCSP020,39.127806,-86.209833,1,601304,283010,318294,10000,28300000,31800000,601304000
10,BCSP,BCSP048,39.132889,-86.275639,1,208950,68299,140651,10000,6830000,14100000,208950000
11,BCSP,BCSP049,39.140167,-86.275889,1,482011,227414,254597,9990,22800000,25500000,482493493.5
12,BCSP,BCSP051,39.142111,-86.270639,1,253108,80817,172291,10000,8080000,17200000,253108000
13,BCSP,BCSP105,39.135583,-86.265,1,283044,90466,192578,10000,9050000,19300000,283044000
14,BCSP,BCSP108,39.133056,-86.257611,1,330172,154283,175889,9990,15400000,17600000,330502502.5
15,BCSP,BCSP262,39.176139,-86.205722,1,240635,91803,148832,10000,9180000,14900000,240635000
16,BCSP,BCSPL01,39.167917,-86.203889,1,205653,79161,126492,10000,7920000,12600000,205653000
17,BCSP,BCSPL03,39.17525,-86.209444,1,459600,185714,273886,10000,18600000,27400000,459600000
18,HNF,HNF132,39.038278,-86.209194,2,128757,54033,74724,10000,10800000,14900000,257514000
19,HNF,HNF133,39.046472,-86.2155,2,598424,343489,254935,10000,68700000,51000000,1196848000
20,HNF,HNF134,39.043056,-86.214444,2,137298,55668,81630,10000,11100000,16300000,274596000
21,HNF,HNF144,39.053056,-86.218639,1,739142,364615,374527,10000,36500000,37500000,739142000
22,HNF,HNF168,39.035111,-86.329639,1,229394,89100,140294,10000,8910000,14000000,229394000
23,HNF,HNF187,39.011836,-86.409764,2,184098,66793,117305,10000,13400000,23500000,368196000
24,HNF,HNF189,39.018853,-86.329706,2,106851,37436,69415,10000,7490000,13900000,213702000
25,HNF,HNF216,39.024258,-86.312464,2,187474,70027,117447,10000,14000000,23500000,374948000
26,HNF,HNF217,39.021417,-86.316778,2,314626,167851,146775,10000,33600000,29400000,629252000
27,HNF,HNF221,39.033139,-86.31075,2,176504,66182,110322,10000,13200000,22100000,353008000
28,HNF,HNF224,39.032361,-86.303861,2,199480,97237,102243,10000,19400000,20400000,398960000
29,HNF,HNF225,39.042639,-86.316139,2,461370,213453,247917,10000,42700000,49600000,922740000
30,HNF,HNF229,39.049417,-86.317472,2,240480,62629,177851,10000,12500000,35600000,480960000
31,HNF,HNF236,39.060744,-86.312136,1,86100,24831,61269,10000,2480000,6130000,86100000
32,HNF,HNF237,39.003781,-86.30575,1,91764,30742,61022,10000,3070000,6100000,91764000
33,HNF,HNF242,39.008736,-86.305094,2,586398,229500,356898,10000,45900000,71400000,1172796000
34,HNF,HNF250,39.029278,-86.319667,1,273491,127840,145651,10000,12800000,14600000,273491000
35,HNF,HNF267,39.003806,-86.305833,1,768225,404538,363687,10000,40500000,36400000,768225000
36,HNF,HNF269,39.0998264,-86.306817,2,167939,63571,104368,10000,12700000,20900000,335878000
37,HNF,HNF279,39.017394,-86.393003,2,244203,111392,132811,10000,22300000,26600000,488406000
38,YSF,YSF004,39.124278,-86.282444,1,565033,265933,299100,9998,26600000,29900000,565146029.2
39,YSF,YSF117,39.133017,-86.30795,1,1390208,749301,640907,10000,74900000,64100000,1390208000
40,YSF,YSF295,39.134417,-86.280583,2,296293,142250,154043,10000,28500000,30800000,592586000
41,YSF,YSF296,39.131583,-86.295111,2,175421,93843,81578,10000,18800000,16300000,350842000
42,YSF,YSF298,39.1284,-86.327567,1,556434,238042,318392,10000,23800000,31800000,556434000
43,YSF,YSF300,39.125517,-86.3425,1,1096053,615550,480503,10000,61600000,48100000,1096053000
44,YSF,YSF44,39.109833,-86.298111,1,340758,161620,179138,10000,16200000,17900000,340758000
45,YSF,YSF45,39.113667,-86.293333,1,302550,109535,193015,10000,11000000,19300000,302550000
46,YSF,YSF46,39.3118583,-86.290278,1,385381,185449,199932,10000,18500000,20000000,385381000
47,YSF,YSF47,39.1169,-86.284417,1,331485,127570,203915,10000,12800000,20400000,331485000
48,YSF,YSF65,39.142167,-86.286083,2,128785,50625,78160,10000,10100000,15600000,257570000
49,YSF,YSF66,39.137778,-86.297528,2,220821,127167,93654,10000,25400000,18700000,441642000
50,YSF,YSF67,39.13775,-86.296889,1,235272,88870,146402,10000,8890000,14600000,235272000
51,YSF,YSF69,39.129806,-86.283333,2,236714,132560,104154,10000,26500000,20800000,473428000
52,YSF,YSF70,39.127567,-86.286233,1,164830,60251,104579,10000,6030000,10500000,164830000
53,YSF,YSF71,39.123278,-86.288667,1,457704,223861,233843,10000,22400000,23400000,457704000
54,YSF,YSF74,39.110767,-86.2867,1,302425,139195,163230,10000,13900000,16300000,302425000
